,TBS,SegmentsNum,SegmentDelay(noSched)
106,24,3,9.642839431762695
107,24,3,9.60993766784668
108,24,3,9.532928466796875
109,24,3,9.614706039428711
110,24,3,9.501934051513672
111,24,3,9.454965591430664
112,24,3,9.580850601196289
113,24,3,9.490966796875
114,24,3,9.633064270019531
115,24,3,9.603500366210938
116,24,3,9.635210037231445
117,116,3,11.558055877685547
118,24,3,9.579181671142578
119,24,3,9.628057479858398
120,24,3,9.52291488647461
121,24,3,9.479999542236328
122,24,3,9.585142135620117
123,24,3,9.560108184814453
124,24,3,9.558916091918945
125,24,3,9.574174880981445
126,24,3,9.608745574951172
127,24,3,9.628772735595703
128,24,3,9.634971618652344
129,116,3,11.569976806640625
130,24,3,9.538888931274414
131,24,3,9.551286697387695
132,24,3,9.517908096313477
133,24,3,9.50002670288086
134,24,3,9.517908096313477
135,24,3,9.475946426391602
136,24,3,9.586095809936523
137,24,3,9.572744369506836
138,24,3,9.65571403503418
139,24,3,9.533882141113281
140,24,3,9.567022323608398
141,116,3,11.569023132324219
142,24,3,9.505033493041992
143,24,3,9.541749954223633
144,24,3,9.579658508300781
145,24,3,9.490013122558594
146,24,3,9.582996368408203
147,24,3,9.595632553100586
148,24,3,9.649276733398438
149,24,3,9.605169296264648
150,24,3,9.52291488647461
151,24,3,9.557962417602539
152,24,3,9.593963623046875
153,116,3,11.508941650390625
154,24,3,9.633779525756836
155,63,3,7.012844085693359
156,24,3,9.496927261352539
157,24,3,9.608030319213867
158,24,3,9.610891342163086
159,24,3,9.50312614440918
160,24,3,9.623050689697266
161,24,3,9.59467887878418
162,24,3,9.476900100708008
163,24,3,9.521961212158203
164,24,3,9.50312614440918
165,24,3,9.510993957519531
166,24,3,9.469985961914062
167,24,3,9.577035903930664
168,24,3,9.60683822631836
169,24,3,9.643077850341797
170,24,3,9.556055068969727
171,24,3,9.578943252563477
172,24,3,9.517908096313477
173,116,3,11.47007942199707
174,24,3,9.49406623840332
175,24,3,9.543895721435547
176,24,3,9.457111358642578
177,24,3,9.580850601196289
178,24,3,9.472131729125977
179,24,3,9.633779525756836
180,24,3,9.60397720336914
181,24,3,9.650945663452148
182,24,3,9.604692459106445
183,24,3,9.562969207763672
184,24,3,9.598016738891602
185,116,3,11.549711227416992
186,24,3,9.463071823120117
