,TBS,SegmentsNum,PacketSize,SegmentDelay(noSched)
128,24,3,1028,5.909919738769531
129,24,3,1028,5.963802337646484
130,24,3,1028,5.858659744262695
131,24,3,1028,5.897998809814453
132,24,3,1028,5.977392196655273
133,24,3,1028,6.1588287353515625
134,24,3,1028,6.148099899291992
135,24,3,1028,6.327152252197266
136,24,4,1028,50.52947998046875
137,24,1,1028,6.100893020629883
138,24,3,1028,6.39033317565918
139,24,3,1028,6.504058837890625
140,24,3,1028,6.584882736206055
141,24,3,1028,6.600141525268555
142,24,3,1028,6.687164306640625
143,24,3,1028,6.72459602355957
144,24,3,1028,6.688833236694336
145,24,3,1028,6.809711456298828
146,24,3,1028,6.8511962890625
147,24,3,1028,6.927728652954102
148,24,3,1028,6.906986236572266
149,24,3,1028,7.076025009155273
150,24,3,1028,7.151365280151367
151,24,3,1028,7.1353912353515625
152,24,3,1028,7.1010589599609375
153,24,3,1028,7.317781448364258
154,24,3,1028,7.349729537963867
155,24,3,1028,7.380008697509766
156,24,3,1028,7.395029067993164
157,24,3,1028,7.534980773925781
158,24,3,1028,7.534265518188477
159,24,3,1028,7.657051086425781
160,24,3,1028,7.623195648193359
161,24,3,1028,7.673740386962891
162,24,3,1028,7.775783538818359
163,24,3,1028,7.803916931152344
164,24,3,1028,7.861852645874023
165,24,3,1028,7.9021453857421875
166,24,3,1028,7.822275161743164
167,24,3,1028,8.063077926635742
168,24,3,1028,7.96198844909668
169,24,3,1028,8.112192153930664
170,24,3,1028,8.102178573608398
171,24,3,1028,8.299827575683594
172,24,3,1028,8.188962936401367
173,24,3,1028,8.311986923217773
174,24,3,1028,8.456707000732422
175,24,3,1028,8.438825607299805
176,24,3,1028,8.548974990844727
177,24,3,1028,8.634090423583984
178,24,3,1028,8.544921875
179,24,3,1028,8.723974227905273
180,24,3,1028,8.733034133911133
181,24,3,1028,8.779287338256836
182,24,3,1028,8.838176727294922
183,24,3,1028,8.992433547973633
184,24,3,1028,9.0179443359375
185,24,3,1028,9.018898010253906
186,24,3,1028,9.135007858276367
187,24,3,1028,9.177923202514648
188,24,3,1028,9.099245071411133
189,24,3,1028,9.261131286621094
190,24,3,1028,9.289026260375977
191,24,3,1028,9.420633316040039
192,24,3,1028,9.460687637329102
193,24,3,1028,9.52005386352539
194,24,3,1028,9.530782699584961
195,24,3,1028,9.721517562866211
196,24,3,1028,9.668111801147461
197,24,3,1028,9.708881378173828
198,24,3,1028,9.792804718017578
199,24,3,1028,4.762887954711914
200,24,3,1028,4.893064498901367
201,24,3,1028,4.8618316650390625
202,24,3,1028,4.971981048583984
203,24,3,1028,5.064725875854492
204,24,3,1028,5.026817321777344
205,24,3,1028,4.969358444213867
206,24,3,1028,5.275249481201172
207,24,3,1028,5.206108093261719
208,24,3,1028,5.339860916137695
209,24,3,1028,5.270957946777344
210,24,3,1028,5.44428825378418
211,24,3,1028,5.383729934692383
212,24,3,1028,5.470991134643555
213,24,3,1028,5.49626350402832
214,24,3,1028,5.645990371704102
215,24,3,1028,5.660057067871094
216,24,3,1028,5.781888961791992
217,24,3,1028,5.840063095092773
218,24,3,1028,5.851030349731445
219,24,3,1028,5.782127380371094
220,24,3,1028,6.025075912475586
221,24,3,1028,6.020069122314453
222,24,3,1028,6.143808364868164
223,24,3,1028,6.058931350708008
224,24,3,1028,6.248235702514648
225,24,3,1028,6.228923797607422
226,24,3,1028,6.281852722167969
227,24,3,1028,6.315708160400391
228,24,3,1028,6.443977355957031
229,24,3,1028,6.474971771240234
230,24,3,1028,6.43610954284668
231,24,3,1028,6.579160690307617
232,24,3,1028,6.554126739501953
233,24,3,1028,6.681203842163086
234,24,3,1028,6.759881973266602
235,24,3,1028,6.7996978759765625
236,24,3,1028,6.845712661743164
237,24,3,1028,6.924867630004883
238,24,3,1028,7.10606575012207
239,24,3,1028,7.012844085693359
240,24,3,1028,7.12275505065918
241,24,3,1028,7.1048736572265625
242,24,3,1028,7.149457931518555
243,24,3,1028,7.206201553344727
244,24,3,1028,7.339954376220703
245,24,3,1028,7.257223129272461
246,24,3,1028,7.397890090942383
247,24,3,1028,7.470846176147461
248,24,3,1028,7.434844970703125
